round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,328,51361,156.58841463414635,-8.0,2,2,0.006097560975609756
1,322,51248,159.1552795031056,-8.0,2,5,0.006211180124223602
2,316,52981,167.66139240506328,-7.5,6,4,0.0189873417721519
3,314,51377,163.62101910828025,-6.0,5,1,0.01592356687898089
4,303,50042,165.15511551155114,-5.5,6,0,0.019801980198019802
5,289,50007,173.03460207612457,-4.0,5,2,0.01730103806228374
6,273,48673,178.28937728937728,-4.0,9,0,0.03296703296703297
7,291,51450,176.8041237113402,-5.0,6,1,0.020618556701030927
8,279,48462,173.69892473118279,-5.0,13,0,0.04659498207885305
9,261,48219,184.7471264367816,-4.5,10,1,0.038314176245210725
10,283,49469,174.80212014134275,-5.0,7,0,0.024734982332155476
11,258,48786,189.09302325581396,-4.5,7,1,0.027131782945736434
12,262,48728,185.98473282442748,-2.0,10,0,0.03816793893129771
13,277,48433,174.84837545126354,-3.0,14,1,0.05054151624548736
14,240,46890,195.375,-3.0,10,0,0.041666666666666664
15,286,47479,166.01048951048952,-23.0,13,0,0.045454545454545456
16,281,47840,170.2491103202847,-1.5,15,0,0.05338078291814947
17,302,48206,159.6225165562914,-2.0,21,3,0.0695364238410596
18,298,47124,158.13422818791946,-1.0,21,6,0.07046979865771812
19,330,47523,144.0090909090909,4.5,46,1,0.1393939393939394
20,322,45663,141.81055900621118,-1.0,47,1,0.14596273291925466
21,394,45532,115.56345177664974,6.5,102,1,0.25888324873096447
